deweyClass,bibNumber,title,DATE(cout),COUNT(bibNumber)
133.5,2085698,"only astrology book youll ever need",2006-01-02,227
133.333,1618593,"Feng Shui made easy designing your life with the ancient art of placement",2006-01-02,71
133.3337,1957065,"Interior design with feng shui",2006-01-02,77
133.10979,2028178,"Ghost stories of Washington",2006-01-02,197
133.43094,1946559,"bewitching of Anne Gunter a horrible and true story of deception witchcraft murder and the King of England",2006-01-02,8
133.44,1938854,"Crones book of magical words",2006-01-02,22
131,1975856,"Using your chakras a new approach to healing your life",2006-01-02,43
133.40973,2309775,"Not in Kansas anymore a curious tale of how magic is transforming America",2006-01-02,112
136.1,85432,"feminine mystique",2006-01-02,4
133.3,2190343,Nostradamus,2006-01-02,149
135.3,1983778,"Dreaming true how to dream your future and change your life for the better",2006-01-02,39
131,2269530,"Sylvia Brownes lessons for life",2006-01-02,111
133.43097,2125892,"In the devils snare the Salem witchcraft crisis of 1692",2006-01-02,80
133.44,2136099,"Silvers spells for prosperity",2006-01-02,21
133.32424,2093327,"magical course in tarot reading the cards in a whole new way",2006-01-02,34
133.3,2244201,"Prophecy what the future holds for you",2006-01-02,206
133.3089,1635889,"Omens oghams oracles divination in the druidic tradition",2006-01-02,2
133.3,2186093,"Divination for beginners reading the past present future",2006-01-02,41
138,1997780,"Mian xiang the Chinese art of face reading made easy",2006-01-02,53
138,1837523,"power of face reading for sales self esteem and better relationships",2006-01-02,10
133.32424,2088667,"Illustrated tarot spreads",2006-01-02,26
133.8,549994,"Developing intuition",2006-01-02,29
133.3337,2084240,"Huiyuan feng shui xue",2006-01-02,55
131,1957311,"chakra system",2006-01-02,6
133.3337,2293005,"Office Feng shui creating harmony in your work space",2006-01-02,126
135.3,2128571,"Sylvia Brownes book of dreams",2006-01-02,82
133.9013,2061542,"Peregrinaje la vida despuÃ¢Â€Âšs de la muerte",2006-01-02,9
133.3337,2267110,"Feng shui style the Asian art of gracious living",2006-01-02,114
133.2,2178449,"Labyrinths their mystery and magic",2006-01-02,94
133.43,1995915,"Simple Wicca",2006-01-02,36
133.5,2029040,"Seventeen total astrology what the stars say about life and love",2006-01-02,4
133.9,2159246,"Healing your body mind and soul",2006-01-03,31
133.335,2204298,"Secrets of numerology",2006-01-03,35
133.9,1861006,"Encounters with the world of spirits",2006-01-03,30
133.58646,2235063,"Love secrets of the signs",2006-01-03,44
133.44,2205550,"Soapmaking a magickal guide",2006-01-03,100
133.3337,2189807,"Feng shui environments for success and well being",2006-01-03,650
135.3,2061544,"SueÃ‚Â¤e y gane en la loto interprete 2000 sueÃ‚Â¤os y juegue el nÃ‚Â£mero que representan ademas numerologÃ‚Â¡a fÃ‚Â cil para identificar el nÃ‚Â£mero de su suerte",2006-01-03,1
133.90135,2319015,"Life before life a scientific investigation of childrens memories of previous lives",2006-01-03,160
133.43097,1814684,"Salem possessed the social origins of witchcraft",2006-01-03,77
133.43,1694843,"Green witchcraft folk magic fairy lore herb craft",2006-01-03,60
133.32424,1980922,"Tarot journeys adventures in self transformation",2006-01-03,37
133.3337,1857151,"Feng shui for apartment living",2006-01-03,57
133.446,2204293,"Incense crafting use of magickal scents",2006-01-03,27
133.335,2136299,"Simple numerology",2006-01-03,61
133.8,2164179,"sense of being stared at and other aspects of the extended mind",2006-01-03,267
133.43,1760368,"Witches magic makers",2006-01-03,93
133.14,2013687,Poltergeists,2006-01-03,66
133.536,2210969,"Madalyn Aslans Jupiter signs how to improve your luck career health finances appearance and relationships through the new astrology",2006-01-03,40
133.3337,1803758,"personal feng shui manual how to develop a healthy and harmonious lifestyle",2006-01-03,56
133.3337,2079476,"Phong thuy ve nhÃ¢Â€Â¦ o vÃ¢Â€Â¦ co so buÃ¢Â€Âœn bÃ‚Â n",2006-01-03,7
133.335,2031856,"complete idiots guide to numerology",2006-01-03,38
133.8,1957482,"Remote viewing secrets a handbook",2006-01-03,7
133.8,2319014,"Spiritualism clairvoyance for beginners simple techniques to develop your psychic abilities",2006-01-03,74
133.803,2320798,"Phenomenon everything you need to know about the paranormal",2006-01-03,159
